product_code,category,image_path,ingredients_text,image_ok
4005900133342,face-care,C:\cit\9th_sem\data_engineering\skincare-data-project\skincare-data-project\raw\images\4005900133342.jpg,"NIVEAⓇ MEN DARK SPOT# REDUCTION CREME A breakthrough in skincare specifically developed for men's skin. It contains UV filters and licorice extracts that reduce dark spots. It is extra light, non-greasy and fast absorbing. SKIN COMPATIBILITY DERMATOLOGICALLY APPROVED SKIN CREAM. INGREDIANTS: Aqua, Glycerin, Isopropyl Palmitate, Cetearyl Alcohol, Alcohol Denat. 3.7% v/v, C12-15 Alkyl Benzoate, Butyl Methoxydibenzoyl - methane, Distarch Phosphate, Glyceryl Stearate, Octocrylene, Glycyrrhiza Glabra Root Extract, Polyglyceryl-10 Stearate, Dimethicone, Carbomer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Trisodium EDTA, Sodium Hydroxide, Phenoxyethanol, Ethylhexylglycerin, Limonene, Linalool, Coumarin, Alpha-Isomethyl Ionone, Parfum. Imported by: NIVEA India Pvt Ltd, 4th Floor, AGH, Phoenix Market City, Kurla (W), Mumbai, Maharashtra - 400070. RC No. COS052/13. Query/Feedback: Contact NIVEA CARE Executive at above address or :(022)62487999, care@beiersdorf.com.For Batch No., MFD. (P) & Use Before (E): See Pack. Manufactured by: Beiersdorf Manufacturing Hamburg GmbH, Troplowitzstraße 10, 22529 Hamburg, Germany. MRP (Incl. of all Taxes): *255.00, USP: *3.40/ml Net Content #Dark spots accumulated from dirt & residues. (When Packed): Beiersdorf 75ml (75.2g) 12M 4 005900133342 Hamburg =reg. tm. of Beiersdorf AG Beiersdorf AG, D-20245 Hamburg ALU www.NIVEAMEN.IN Art. No. 83927 83927.498.DB.01",True
8600102126930,face-care,C:\cit\9th_sem\data_engineering\skincare-data-project\skincare-data-project\raw\images\8600102126930.jpg,,True
3600542520300,sun-care,C:\cit\9th_sem\data_engineering\skincare-data-project\skincare-data-project\raw\images\3600542520300.jpg,,True
8852660636875,sun-care,C:\cit\9th_sem\data_engineering\skincare-data-project\skincare-data-project\raw\images\8852660636875.jpg,"Polybutene, Hydrogenated Polyisobutene, Ethylhexyl Palmitate, Microcrystalline Wax, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Camellia Oleifera Seed Oil, Diisostearyl Malate, Cocos Nucifera (Coconut) Oil, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Ethylhexyl Triazone, Silica Dimethyl Silylate, Butyrospermum Parkii (Shea) Butter, Kojic Acid Dipalmitate, Cetearyl Ethylhexano - até, Water, Ethylene/Propylene/Styrene Copoly - mer, BHT, Bisabolol, Tocopheryl Acetate, Sorbitan Isostearate, Ceteareth-25, Butylene/Ethylene/ Styrene Copolymer, Glycerin, Cetyl Alcohol, Portulaca Pilosa Extract, Phenoxyethanol, Behenic Acid, Ceramide NP, Cholesterol, Sucrose Cocoate, Ceramide NS, Ethylhexylglycerin, Ceramide AP, Ceramide EOP Ceramide EOS, Caprooyl Phytosphingosine, Caprooyl Sphin - gosine, Palmitoyl Tripeptide-38, Ascorbyl - Palmitate, Citric Acid, Glyceryl Oleate, Glyceryl Stearate, Lecithin, Tocopherol. May Contain (+/-): CI 77891, CI 15850, CI 77491, CI 19140, CI 42090, CI 15985, CI 47005",True
0054402720028,sun-care,C:\cit\9th_sem\data_engineering\skincare-data-project\skincare-data-project\raw\images\0054402720028.jpg,,True
3662361003204,sun-care,,"EAU DICAPRYLYL ETHER DIISOPROPYLADIPATE, DIETHYLAMINO ATE ETHYLHEXYL TRIAZONE, C12-15 ALKYL BENZOATE, SILICA HOL NETHOXYPHENYL TRIAZINE, PROPANEDIOL, PENTYLENE EOL 12-HEXANEDIOL, NIACINAMIDE, GLYCINE SOJA (SOYBEAN) OIL DTRACT, GLYCERIN, TOCOPHEROL, CAPRYLYL GLYCOL, CELLULOSE ELLOSE NEOPENTYL GLYCOL DIHEPTANOATE, POLYESTER-7 HOPOXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE PATE COCO GLUCOSIDE PARFUM/FRAGRANCE P0953556 الحجم: 200 مل",False
3282770145175,sun-care,C:\cit\9th_sem\data_engineering\skincare-data-project\skincare-data-project\raw\images\3282770145175.jpg,"WATER (AQUA). C12-15 ALKYL BENZOATE, DICAPRYLYL CARBONATE. METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL [NANO]. DIISOPROPYL ADIPATE. SILICA. BIS-ETHYL - HEXYLOXYPHENOL METHOXYPHENYL TRIAZINE. DIETHYLHEXYL BUTAMIDO TRIAZONE. ZEA MAYS (CORN) STARCH (ZEA MAYS STARCH). BUTYL METHOXYDIBENZOYLMETHANE. C10-18 TRIGLYCERIDES. DECYL GLUCOSIDE. GLYCERIN. GLYCERYL STEARATE. PEG-100 STEARATE, POTASSIUM CETYL PHOSPHATE. ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER. BENZOIC ACID, CAPRYLYL GLYCOL. DISODIUM EDTA. FRAGRANCE (PARFUM). GLYCERYL BEHENATE. GLYCERYL DIBEHENATE. GLYCERYL LAURATE. MYRTUS COMMUNIS LEAF EXTRACT. NIACINAMIDE. PENTYLENE GLYCOL. PROPYLENE GLYCOL, SODIUM HYDROXIDE. STEARYL ALCOHOL. TOCOPHEROL. TRIBEHENIN. TRIPTERYGIUM WILFORDII CALLUS EXTRACT. XANTHAN GUM.",True
8710537042474,sun-care,C:\cit\9th_sem\data_engineering\skincare-data-project\skincare-data-project\raw\images\8710537042474.jpg,,True
3600542359696,sun-care,C:\cit\9th_sem\data_engineering\skincare-data-project\skincare-data-project\raw\images\3600542359696.jpg,,True
3282779402927,sun-care,C:\cit\9th_sem\data_engineering\skincare-data-project\skincare-data-project\raw\images\3282779402927.jpg,,True
